product_id,product_name,product_category,product_image,product_deeplink
pulsego-s25-011,Ravitsemushoito osana hyvää hoitoa,Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Ravitsemushoito-osana-hyvaa-hoitoa-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-ravitsemushoito-osana-hyvaa-hoitoa-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-012,Nepsy-tietoutta työelämää varten,Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Nepsy-tietoutta-tyoelamaa-varten-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-nepsy-tietoutta-tyoelamaa-varten-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-013,Kiusaaminen pienten lasten keskuudessa,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Kiusaaminen-pienten-lasten-keskuudessa-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-kiusaaminen-pienten-lasten-keskuudessa-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
pulsego-s25-014,Psyykkisesti oireilevan lapsen ja hänen lähiverkostonsa kohtaaminen ja ohjaus,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Psyykkisesti-oireilevan-lapsen-ja-hanen-lahiverkostonsa-kohtaaminen-ja-ohjaus-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-psyykkisesti-oireilevan-lapsen-ja-hanen-lahiverkostonsa-kohtaaminen-ja-ohjaus/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
pulsego-s25-015,Kouluväkivalta,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Kouluvakivalta-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-kouluvakivalta-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
pulsego-s25-016,Traumainformoitu lähestymistapa nuoruusikäisen mielenterveystyössä,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Traumainformoitu-lahestymistapa-nuoruusikaisen-mielenterveystyossa-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-traumainformoitu-lahestymistapa-nuoruusikaisen-mielenterveystyossa-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
pulsego-s25-017,Nuoruusiän syömishäiriöiden tunnistaminen ja moniammatillinen hoito,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Nuoruusian-syomishairioiden-tunnistaminen-ja-moniammatillinen-hoito-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-nuoruusian-syomishairioiden-tunnistaminen-ja-moniammatillinen-hoito-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
pulsego-s25-018,Kokemus ja elämys kasvun tukena,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Kokemus-ja-elamys-kasvun-tukena-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-kokemus-ja-elamys-kasvun-tukena-nonstop-aloitus-2-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
pulsego-s25-019,Sosiaalipedagogiikka ohjaustyön tukena,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Sosiaalipedagogiikka-ohjaustyon-tukena-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-sosiaalipedagogiikka-ohjaustyon-tukena-nonstop-aloitus-2-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
pulsego-s25-020,"Avaimet elämäntapamuutokseen osa 5: Kestävyysharjoittelu (nonstop-aloitus), 5 op",Hyvinvointi,https://www.xamk.fi/app/uploads/sites/2/2025/08/Avaimet-elamantapamuutokseen-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-avaimet-elamantapamuutokseen-osa-5-kestavyysharjoittelu-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=hyvinvointi
pulsego-s25-021,"Stressin säätelyn keinot (nonstop-aloitus), 5 op",Hyvinvointi,https://www.xamk.fi/app/uploads/sites/2/2025/08/Stressin-saatelyn-keinot-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-stressin-saatelyn-keinot-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=hyvinvointi
pulsego-s25-022,Hyvinvointia ruuasta 1: Vegaania ja kasvisruokaa,Hyvinvointi,https://www.xamk.fi/app/uploads/sites/2/2025/08/Hyvinvointia-ruuasta-1-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-hyvinvointia-ruuasta-1-vegaania-ja-kasvisruokaa-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=hyvinvointi
pulsego-s25-023,Hyvinvointia ruuasta 2: Erityisruokavaliot,Hyvinvointi,https://www.xamk.fi/app/uploads/sites/2/2025/08/Hyvinvointia-ruuasta-2-PulseGO-syksy-2025PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-hyvinvointia-ruuasta-2-erityisruokavaliot-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=hyvinvointi
