product_id,product_name,product_category,product_image,product_deeplink
1,"HR, viestintä ja johtaminen",Tekniikka ja liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_yamk-liiketalous_1.jpg,https://www.xamk.fi/koulutukset/hr-viestinta-ja-johtaminen/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Tekniikka-ja-liiketalous
2,Digimarkkinoinnin johtaminen,Tekniikka ja liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_yamk-liiketalous_2.jpg,https://www.xamk.fi/koulutukset/digimarkkinoinnin-johtaminen-ylempi-amk/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Tekniikka-ja-liiketalous
3,International Business Management,Tekniikka ja liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_yamk-liiketalous_3.jpg,https://www.xamk.fi/en/degree-programmes/master-of-business-administration-international-business-management/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Tekniikka-ja-liiketalous
4,Digital Industry and AI,Tekniikka ja liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_yamk-tekniikka_1.jpg,https://www.xamk.fi/en/degree-programmes/digital-industry-and-ai/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Tekniikka-ja-liiketalous
5,Strategic Supply Chain Management,Tekniikka ja liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_yamk-tekniikka_2.jpg,https://www.xamk.fi/en/degree-programmes/strategic-supply-chain-mangement/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Tekniikka-ja-liiketalous
8,Sosiaali- ja terveysalan kehittäminen ja johtaminen,Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_yamk-sote01_2.jpg,https://www.xamk.fi/koulutukset/sosiaali-ja-terveysalan-kehittaminen-ja-johtaminen-yamk/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Sosiaali-ja-terveysala
9,Digitaaliset palvelut sosiaali- ja terveysalalla,Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_yamk-sote01_1.jpg,https://www.xamk.fi/koulutukset/digitaaliset-palvelut-sosiaali-ja-terveysalalla-ylempi-amk/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Sosiaali-ja-terveysala
