product_id,product_name,product_deeplink,product_image
1,Terveysala,https://koulutuskalenteri.xamk.fi/?fwp_oac_sector=terveysala-fi&utm_source=adform&utm_medium=display&utm_campaign=2024-10-pulse-osaajakoulutukset,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_ohjelmallinen_display_300x300_terveys.png
2,Sosiaaliala,https://koulutuskalenteri.xamk.fi/?fwp_oac_sector=sosiaaliala-fi&utm_source=adform&utm_medium=display&utm_campaign=2024-10-pulse-osaajakoulutukset,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_ohjelmallinen_display_300x300_sosiaali.png
3,Liiketalous,https://koulutuskalenteri.xamk.fi/?fwp_oac_sector=liiketalous-fi&utm_source=adform&utm_medium=display&utm_campaign=2024-10-pulse-osaajakoulutukset,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_ohjelmallinen_display_300x300_liiketalous.png
4,Tekniikka,https://koulutuskalenteri.xamk.fi/?fwp_oac_sector=tekniikka-fi&utm_source=adform&utm_medium=display&utm_campaign=2024-10-pulse-osaajakoulutukset,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_ohjelmallinen_display_300x300_tekniikka.png
5,Liikunta- ja kuntoutusala,https://koulutuskalenteri.xamk.fi/?fwp_oac_sector=liikunta-ja-kuntoutusala-fi&utm_source=adform&utm_medium=display&utm_campaign=2024-10-pulse-osaajakoulutukset,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_ohjelmallinen_display_300x300_liikunta_kuntoutus.png
