product_id,product_name	,product_deeplink,product_image,product_category
230,Vahvista digiosaamistasi sote-alalla,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/ota-digi-haltuun-digitalisaatio-sosiaali-ja-terveysalan-muuttuvissa-toimintaymparistoissa-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_Ota_digi_haltuun_Digitalisaatio_sosiaali_ja_terveysalan_muuttuvissa_toimintaymparistoissa-1.jpg,Terveysala
231,Opi monialaisen yhteistyön perusteet,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/yhteistyolla-kohti-parempaa-palvelua-monialainen-yhteistyo-sosiaali-ja-terveydenhuollossa-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_Yhteistyolla_kohti_parempaa_palvelua_monialainen_yhteistyo_sosiaali_ja_terveydenhuollossa.jpg,Terveysala
232,Opi kotikuntoutuksen menetelmät,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/kohti-vaikuttavaa-moniammatillista-ja-asiakaslahtoista-kotikuntoutusta-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_kohti_vaikuttavaa_moniammatillista_ja_asiakaslahtoista_kotikuntoutusta.jpg,Terveysala
233,Syvenny sosiaaliseen vastuuseen,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/sosiaalisen-vastuun-ulottuvuudet-nonstop-aloitus-3-op-3/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Vastuullisuus,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_sosiaalisen_vastuun_ulottuvuudet.jpg,Vastuullisuus
234,Kehitä työkykyjohtamista,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/tyokykyjohtaminen-osana-yrityksen-vastuullisuutta-nonstop-aloitus-5-op-3/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Vastuullisuus,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_tyokykyjohtaminen_osana_yrityksen_vastuullisuutta.jpg,Vastuullisuus
235,Kohti vastuullisempaa yritystoimintaa,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/matkalla-kohti-vastuullista-yritystoimintaa-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Vastuullisuus,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_matkalla_kohti_vastuullista_yritystoimintaa.jpg,Vastuullisuus
236,Mittaa ekologista kestävyyttä,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/ekologisen-kestavyyden-mittaaminen-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Vastuullisuus,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_Ekologisen_kestavyyden_mittaaminen.jpg,Vastuullisuus
237,Opi ekologisesta ulottuvuudesta,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/ekologisen-ulottuvuuden-haasteet-ja-tyokalut-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Vastuullisuus,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_ekologisen_ulottuvuuden_haasteet_ja_tyokalut.jpg,Vastuullisuus
238,Talous kestävässä kehityksessä,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/taloudellinen-kestavyys-ja-kiertotalous-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Vastuullisuus,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_Taloudellinen_kestavyys_ja_kiertotalous.jpg,Vastuullisuus
239,Vaikuttava vastuullisuusviestintä,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/keinoja-vaikuttavaan-vastuullisuusviestintaan-nonstop-aloitus-2-op-3/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Vastuullisuus,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_keinoja_vaikuttavaan_vastuullisuusviestintaan-1.jpg,Vastuullisuus
240,Onnistu kriisiviestinnässä,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/kriisiviestinta-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Vastuullisuus,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_kriisiviestinta.jpg,Vastuullisuus
241,Huomioi vastuullisuus rekrytoinneissa,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/vastuullinen-rekrytointi-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_vastuullinen_rekrytointi.jpg,Johtaminen ja esihenkilötyö
242,Johda taloudellisesti,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/talousnakokulma-lahijohtamisessa-nonstop-aloitus-5-op-2/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk-Pulse_Talousnakokulma_lahijohtamisessa.jpg,Johtaminen ja esihenkilötyö
243,Uutta osaamista esihenkilötyöhön,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/johtamisen-ja-esihenkilotyon-korkeakouludiplomi-3-johtaminen-master-school-15-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_Johtamisen_ja_esihenkilotyon_korkeakouludiplomi_moduuli_Johtaminen.jpg,Johtaminen ja esihenkilötyö
244,Perehdy mahdollisuuksiin,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/johtamisen-ja-esihenkilotyon-korkeakouludiplomi-1-muutos-ja-innovatiivisuuden-edistaminen-master-school-15-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk-Pulse_Johtamisen_ja_esihenkilotyon_korkeakouludiplomi_Muutos_ja_innovatiivisuuden_edistaminen.jpg,Johtaminen ja esihenkilötyö
245,Johda strategisesti!,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/strateginen-johtaminen-master-school-5-op-3/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_Strateginen_johtaminen.jpg,Johtaminen ja esihenkilötyö
246,Kehitä ja johda uusia innovaatioita,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/innovaatiojohtaminen-digiajassa-nonstop-aloitus-5-op-4/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_Innovaatiojohtaminen_digiajassa.jpg,Johtaminen ja esihenkilötyö
247,Lähijohtajan viestintätilanteet ja -kanavat,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/osallistava-johtamisviestinta-yamk-5-op-3/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_osallistava_johtamisviestinta.jpg,Johtaminen ja esihenkilötyö
248,Tietopääoman luokittelu ja hyödyntäminen,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/tietojohtaminen-5-op-2/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk-Pulse_tietojohtaminen.jpg,Johtaminen ja esihenkilötyö
249,"Työoikeus, työsopimus, oikeudet, velvollisuudet",https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/tyolainsaadanto-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_tyolainsaadanto.jpg,Johtaminen ja esihenkilötyö
250,Yrityksen katetuottolaskelmat ja kannattavuus,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/johtamisen-ja-esihenkilotyon-korkeakouludiplomi-4-talous-ja-tietojohtaminen-master-school-15-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_Johtamisen_ja_esihenkilotyon_korkeakouludiplomi_4_moduuli_Talous_ja_tietojohtaminen.jpg,Johtaminen ja esihenkilötyö
251,Vastuullisuusviestintä kilpailukeinona,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/vastuullisuudesta-viestiminen-ja-raportointi-yamk-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Johtaminen_esihenkilotyo,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_vastuullisuudesta_viestiminen_ja_raportointi.jpg,Johtaminen ja esihenkilötyö
252,Elä oppiaksesi,https://koulutuskalenteri.xamk.fi/?_gl=1%2A14jzzo6%2A_up%2AMQ..%2A_ga%2AOTY0MjY0MTAzLjE3NDc2NDAyMzM.%2A_ga_77W4RRPCQV%2AczE3NDc2NDAyMzMkbzEkZzAkdDE3NDc2NDAyMzMkajAkbDAkaDAkZDd0ZmxwdS0yUTNDcGNOU3lkb3RoXzh1b3pDYmJfeUdXNXc.%2A_ga_VVNN9RNCBX%2AczE3NDc2NDAyMzMkbzEkZzAkdDE3NDc2NDAyMzMkajAkbDAkaDAkZFNFcGplRFYyNlhQbjkwNVJEaGVkYkFHRkMwNkZaaktyalE.&gclid=CjwKCAjw_pDBBhBMEiwAmY02Nt04LWcOqGy1COS41fXMLgAkJxsYoXq8PEQ96JbGxA3stnmQueR1WxoC8qoQAvD_BwE&fwp_oac_type=polkuopinnot-fi&fwp_oac_sector=liikunta-ja-kuntoutusala-fi&utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Polkuopinnot,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_polkuopinnot_brandikuva.jpg,Polkuopinnot
253,Fysioterapeutti (AMK) polkuopinnot,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/polkuopinnot-2025-fysioterapeutti-amk-nonstop-aloitus-verkko-opinnot/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Polkuopinnot,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_polkuopinnot_fysioterapeutti.jpg,Polkuopinnot
254,Liikunnanohjaaja (AMK) polkuopinnot,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/polkuopinnot-2025-liikunnanohjaaja-amk-nonstop-aloitus-verkko-opinnot/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Polkuopinnot,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_polkuopinnot_liikunnanohjaaja.jpg,Polkuopinnot
